,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
1323,EU,Europe,ALB,Albania,2010,All,Age_all,All,40.0,0.32951643,1.28903081,1.37314115
3841,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,All,Age_all,All,35.0,7.09939148,37.83941354,38.71295999
3904,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,All,Age_all,All,28.0,5.9447983,29.32767325,30.59574282
3967,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age_all,All,40.0,6.89655172,40.58351827,43.214278
6700,CSA,Central and South America,ARG,Argentina,2010,All,Age_all,All,14684.0,4.64245743,29.70464469,35.90592979
6802,CSA,Central and South America,ARG,Argentina,2011,All,Age_all,All,14572.0,4.60098196,28.98691032,35.26578817
6867,CSA,Central and South America,ARG,Argentina,2012,All,Age_all,All,13986.0,4.40998411,27.44244693,33.49523255
6951,CSA,Central and South America,ARG,Argentina,2013,All,Age_all,All,14654.0,4.53225372,28.10255232,34.72838559
7048,CSA,Central and South America,ARG,Argentina,2014,All,Age_all,All,14816.0,4.60074216,27.76977894,34.74874507
8696,AS,Asia,ARM,Armenia,2010,All,Age_all,All,329.0,1.17832456,10.70095934,11.43425529
8759,AS,Asia,ARM,Armenia,2011,All,Age_all,All,271.0,0.96913779,8.84755126,9.42104711
8822,AS,Asia,ARM,Armenia,2012,All,Age_all,All,305.0,1.10507246,8.98015144,10.08555527
8885,AS,Asia,ARM,Armenia,2013,All,Age_all,All,267.0,0.98176202,7.89288271,8.83526987
8948,AS,Asia,ARM,Armenia,2014,All,Age_all,All,296.0,1.06805225,8.87264985,9.82136073
12726,OA,Oceania,AUS,Australia,2010,All,Age_all,All,2216.0,1.54454148,5.68093374,9.93832721
12791,OA,Oceania,AUS,Australia,2011,All,Age_all,All,2451.0,1.66811859,6.2052691,10.97134005
12862,OA,Oceania,AUS,Australia,2012,All,Age_all,All,2456.0,1.66963521,5.91173937,10.80593344
12917,OA,Oceania,AUS,Australia,2013,All,Age_all,All,2741.0,1.85606522,6.35865471,11.85689382
12980,OA,Oceania,AUS,Australia,2014,All,Age_all,All,2790.0,1.81664279,6.31827008,11.87025025
16508,EU,Europe,AUT,Austria,2010,All,Age_all,All,694.0,0.89897538,4.43739334,8.30037403
