,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
9,CSA,Central and South America,ARG,Argentina,2011,All,Age_all,All,14572.0,4.60098196,28.98691032,35.26578817
10,CSA,Central and South America,ARG,Argentina,2012,All,Age_all,All,13986.0,4.40998411,27.44244693,33.49523255
11,CSA,Central and South America,ARG,Argentina,2013,All,Age_all,All,14654.0,4.53225372,28.10255232,34.72838559
12,CSA,Central and South America,ARG,Argentina,2014,All,Age_all,All,14816.0,4.60074216,27.76977894,34.74874507
13,CSA,Central and South America,ARG,Argentina,2020,All,Age_all,All,13267.0,3.5264035,22.15513082,29.35451443
14,CSA,Central and South America,ARG,Argentina,2019,All,Age_all,All,15044.0,4.40233168,25.25146112,33.59484717
15,CSA,Central and South America,ARG,Argentina,2018,All,Age_all,All,14415.0,4.27969586,24.80136514,32.49464903
16,CSA,Central and South America,ARG,Argentina,2017,All,Age_all,All,14652.0,4.2881225,25.60528925,33.34764165
17,CSA,Central and South America,ARG,Argentina,2016,All,Age_all,All,14268.0,4.07520914,25.76943056,32.79362221
18,CSA,Central and South America,ARG,Argentina,2015,All,Age_all,All,13957.0,4.22187133,25.73375046,32.40131215
19,CSA,Central and South America,ARG,Argentina,2021,All,Age_all,All,15973.0,3.65683072,26.33493573,35.02403399
20,AS,Asia,ARM,Armenia,2010,All,Age_all,All,329.0,1.17832456,10.70095934,11.43425529
21,AS,Asia,ARM,Armenia,2011,All,Age_all,All,271.0,0.96913779,8.84755126,9.42104711
22,AS,Asia,ARM,Armenia,2012,All,Age_all,All,305.0,1.10507246,8.98015144,10.08555527
23,AS,Asia,ARM,Armenia,2013,All,Age_all,All,267.0,0.98176202,7.89288271,8.83526987
24,AS,Asia,ARM,Armenia,2014,All,Age_all,All,296.0,1.06805225,8.87264985,9.82136073
25,AS,Asia,ARM,Armenia,2021,All,Age_all,All,204.0,0.5932302,5.41024336,6.87302127
26,AS,Asia,ARM,Armenia,2020,All,Age_all,All,186.0,0.51423832,5.14285295,6.27690675
27,AS,Asia,ARM,Armenia,2019,All,Age_all,All,200.0,0.76379607,5.40517273,6.75109587
28,AS,Asia,ARM,Armenia,2018,All,Age_all,All,185.0,0.7184187,5.43534552,6.23105213
29,AS,Asia,ARM,Armenia,2017,All,Age_all,All,218.0,0.80368664,5.76793061,7.48389675
30,AS,Asia,ARM,Armenia,2016,All,Age_all,All,255.0,0.90342238,7.56964056,8.52169054
31,AS,Asia,ARM,Armenia,2015,All,Age_all,All,321.0,1.15144558,9.31496518,10.68366112
32,AS,Asia,ARM,Armenia,2022,All,Age_all,All,182.0,0.68185224,4.69690892,6.12949604
33,OA,Oceania,AUS,Australia,2010,All,Age_all,All,2216.0,1.54454148,5.68093374,9.93832721
34,OA,Oceania,AUS,Australia,2011,All,Age_all,All,2451.0,1.66811859,6.2052691,10.97134005
35,OA,Oceania,AUS,Australia,2012,All,Age_all,All,2456.0,1.66963521,5.91173937,10.80593344
36,OA,Oceania,AUS,Australia,2013,All,Age_all,All,2741.0,1.85606522,6.35865471,11.85689382
37,OA,Oceania,AUS,Australia,2014,All,Age_all,All,2790.0,1.81664279,6.31827008,11.87025025
38,OA,Oceania,AUS,Australia,2017,All,Age_all,All,2734.0,1.69726166,5.61098752,11.11644118
