country,code,region,income,year,che_gdp(%),hk_gdl(%),che_pc_usd,che,gdp_pc_usd,che_usd,Year,Number,Percent_of_Total,Age_Stnd_Per_100k,Death_rate_per_100k
Argentina,ARG,AMR,Upper-middle,2011,9.4,0,"1,203","205,225","12,769","49,931",2011,14572,4.60098196,28.98691032,35.26578817
Argentina,ARG,AMR,Upper-middle,2012,9.8,0,"1,362","259,235","13,859","57,139",2012,13986,4.40998411,27.44244693,33.49523255
Argentina,ARG,AMR,Upper-middle,2013,9.8,0,"1,415","327,497","14,469","59,988",2013,14654,4.53225372,28.10255232,34.72838559
Argentina,ARG,AMR,Upper-middle,2014,9.7,0,"1,281","442,857","13,241","54,841",2014,14816,4.60074216,27.76977894,34.74874507
Argentina,ARG,AMR,Upper-middle,2017,10.2,0,"1,495","1,090,728","14,610","65,854",2017,14652,4.2881225,25.60528925,33.34764165
Argentina,ARG,AMR,Upper-middle,2016,9.9,0,"1,258","810,934","12,767","54,948",2016,14268,4.07520914,25.76943056,32.79362221
Argentina,ARG,AMR,Upper-middle,2015,10.2,0,"1,525","609,107","14,909","65,969",2015,13957,4.22187133,25.73375046,32.40131215
Armenia,ARM,EUR,Upper-middle,2010,9.2,0.2,290,"319,563","3,143",855,2010,329,1.17832456,10.70095934,11.43425529
Armenia,ARM,EUR,Upper-middle,2011,9.4,0.2,325,"354,216","3,463",951,2011,271,0.96913779,8.84755126,9.42104711
Armenia,ARM,EUR,Upper-middle,2012,9.1,0.1,333,"389,722","3,644",970,2012,305,1.10507246,8.98015144,10.08555527
Armenia,ARM,EUR,Upper-middle,2013,10.3,0,396,"470,299","3,833","1,148",2013,267,0.98176202,7.89288271,8.83526987
Armenia,ARM,EUR,Upper-middle,2014,10.2,0.1,409,"491,471","4,017","1,182",2014,296,1.06805225,8.87264985,9.82136073
Armenia,ARM,EUR,Upper-middle,2021,12.3,0,613,"861,575","4,967","1,710",2021,204,0.5932302,5.41024336,6.87302127
Armenia,ARM,EUR,Upper-middle,2020,12.2,0.1,552,"756,700","4,506","1,547",2020,186,0.51423832,5.14285295,6.27690675
Armenia,ARM,EUR,Upper-middle,2019,11.4,0,549,"744,617","4,829","1,550",2019,200,0.76379607,5.40517273,6.75109587
Armenia,ARM,EUR,Upper-middle,2018,10,0,439,"602,030","4,392","1,246",2018,185,0.7184187,5.43534552,6.23105213
Armenia,ARM,EUR,Upper-middle,2017,10.4,0.1,419,"576,632","4,042","1,195",2017,218,0.80368664,5.76793061,7.48389675
Armenia,ARM,EUR,Upper-middle,2016,10,0.1,366,"504,295","3,680","1,050",2016,255,0.90342238,7.56964056,8.52169054
Armenia,ARM,EUR,Upper-middle,2015,10.1,0.1,371,"510,296","3,666","1,068",2015,321,1.15144558,9.31496518,10.68366112
Brazil,BRA,AMR,Upper-middle,2010,7.9,0.3,894,"308,737","11,249","175,496",2010,50483,4.44022847,27.99362492,25.79431934
Brazil,BRA,AMR,Upper-middle,2011,7.8,0.3,"1,028","340,841","13,201","203,751",2011,50852,4.3444756,27.30585992,25.7459532
Brazil,BRA,AMR,Upper-middle,2012,7.7,0.3,954,"372,488","12,328","190,719",2012,51124,4.32826546,26.69628838,25.65341608
Brazil,BRA,AMR,Upper-middle,2013,8,0.3,978,"425,282","12,259","197,247",2013,53667,4.43355248,27.23079139,26.69523045
Brazil,BRA,AMR,Upper-middle,2014,8.4,0.4,"1,014","485,226","12,071","206,220",2014,53720,4.37801895,26.47039781,26.49388903
Brazil,BRA,AMR,Upper-middle,2020,10.2,0.2,705,"774,836","6,924","150,302",2020,55698,3.57766838,22.90993206,26.20349679
